Артикул,Название,Производитель,Коллекция,Состав,Цвет,Рисунок,Плотность,Ширина,Цена,Валюта,Описание,Фото,Файл фото,Источник,Кредит
VB-9101,Midnight Hopsack,Vitale Barberis Canonico,Perennial,100% шерсть,Синий,Однотонная,280,150,12800,RUB,"Сухая hopsack-фактура, тёмно-синий тон для круглогодичного костюма.",/fabrics/import-pack/VB-9101-midnight-hopsack.png,VB-9101-midnight-hopsack.png,generated-swatch,Portnoy Atelier swatch (original)
LP-8810,Prince of Wales,Loro Piana,Australis,100% шерсть Super 150’s,Серый,Клетка,250,150,29600,RUB,Серая клетка с бордовой оконной линией.,/fabrics/import-pack/LP-8810-prince-of-wales.png,LP-8810-prince-of-wales.png,generated-swatch,Portnoy Atelier swatch (original)
DR-5502,Charcoal Flannel,Drapers,Lady Sanfelice,100% шерсть,Графит,Меланж,340,150,17400,RUB,Плотная матовая фланель для холодного сезона.,/fabrics/import-pack/DR-5502-charcoal-flannel.png,DR-5502-charcoal-flannel.png,generated-swatch,Portnoy Atelier swatch (original)
AR-7204,Olive Solaro,Ariston,Season,100% шерсть,Оливковый,Диагональ,270,150,21900,RUB,Переливчатая оливковая диагональ Solaro.,/fabrics/import-pack/AR-7204-olive-solaro.png,AR-7204-olive-solaro.png,generated-swatch,Portnoy Atelier swatch (original)
RE-3408,Brown Chalk Stripe,Reda,1865,100% шерсть,Коричневый,Полоска,290,150,14600,RUB,Коричневая основа и тонкая меловая полоска.,/fabrics/import-pack/RE-3408-brown-chalk-stripe.png,RE-3408-brown-chalk-stripe.png,generated-swatch,Portnoy Atelier swatch (original)
HM-2103,Navy Birdseye,Holland & Sherry,City,100% шерсть,Синий,Меланж,300,150,18900,RUB,Мелкоузорчатый birdseye в тёмно-синем тоне.,/fabrics/import-pack/HM-2103-navy-birdseye.png,HM-2103-navy-birdseye.png,generated-swatch,Portnoy Atelier swatch (original)
SC-1188,Mid Grey Herringbone,Scabal,Heritage,100% шерсть,Серый,Ёлочка,310,150,22400,RUB,Классическая серая ёлочка для делового костюма.,/fabrics/import-pack/SC-1188-mid-grey-herringbone.png,SC-1188-mid-grey-herringbone.png,generated-swatch,Portnoy Atelier swatch (original)
DR-6611,Black Super 120s,Dormeuil,Amadeus,100% шерсть Super 120’s,Чёрный,Однотонная,260,150,26800,RUB,Глубокий чёрный Super 120’s с мягким блеском.,/fabrics/import-pack/DR-6611-black-super120.png,DR-6611-black-super120.png,generated-swatch,Portnoy Atelier swatch (original)
UN-1001,Woven Brown Wool,Atelier Sample,Unsplash Reference,100% шерсть,Коричневый,Однотонная,320,150,9900,RUB,Референсное фото переплетения (Unsplash License).,/fabrics/import-pack/UN-1001-woven-brown.jpg,UN-1001-woven-brown.jpg,unsplash,Marek Levák / Unsplash
UN-1002,Dark Grey Texture,Atelier Sample,Unsplash Reference,100% шерсть,Графит,Однотонная,300,150,8900,RUB,Тёмно-серая текстура поверхности (Unsplash License).,/fabrics/import-pack/UN-1002-dark-grey.jpg,UN-1002-dark-grey.jpg,unsplash,Unsplash
